name,year,director,actors,rating,no_of_votes,imdb_link
Singin' in the Rain,1952,Stanley Donen,"Gene Kelly, Donald O'Connor",8.3,151886.0,/title/tt0045152/
Snatch,2000,Guy Ritchie,"Jason Statham, Brad Pitt",8.3,607683.0,/title/tt0208092/
Inglourious Basterds,2009,Quentin Tarantino,"Brad Pitt, Diane Kruger",8.3,897754.0,/title/tt0361748/
The Kid,1921,Charles Chaplin,"Charles Chaplin, Edna Purviance",8.3,68760.0,/title/tt0012349/
Monty Python and the Holy Grail,1975,Terry Gilliam,"Graham Chapman, John Cleese",8.3,386323.0,/title/tt0071853/
L.A. Confidential,1997,Curtis Hanson,"Kevin Spacey, Russell Crowe",8.3,418629.0,/title/tt0119488/
Per qualche dollaro in più,1965,Sergio Leone,"Clint Eastwood, Lee Van Cleef",8.3,159688.0,/title/tt0059578/
Rashômon,1950,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô",8.3,104012.0,/title/tt0042876/
The Apartment,1960,Billy Wilder,"Jack Lemmon, Shirley MacLaine",8.3,110771.0,/title/tt0053604/
Scarface,1983,Brian De Palma,"Al Pacino, Michelle Pfeiffer",8.3,543897.0,/title/tt0086250/
3 Idiots,2009,Rajkumar Hirani,"Aamir Khan, Madhavan",8.3,213128.0,/title/tt1187043/
Indiana Jones and the Last Crusade,1989,Steven Spielberg,"Harrison Ford, Sean Connery",8.3,521314.0,/title/tt0097576/
Jodaeiye Nader az Simin,2011,Asghar Farhadi,"Peyman Moaadi, Leila Hatami",8.2,154080.0,/title/tt1832382/
Metropolis,1927,Fritz Lang,"Brigitte Helm, Alfred Abel",8.2,113208.0,/title/tt0017136/
Jagten,2012,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen",8.2,173697.0,/title/tt2106476/
All About Eve,1950,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter",8.2,83914.0,/title/tt0042192/
Yôjinbô,1961,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno",8.2,74962.0,/title/tt0055630/
Good Will Hunting,1997,Gus Van Sant,"Robin Williams, Matt Damon",8.2,613226.0,/title/tt0119217/
Batman Begins,2005,Christopher Nolan,"Christian Bale, Michael Caine",8.2,993635.0,/title/tt0372784/
The Treasure of the Sierra Madre,1948,John Huston,"Humphrey Bogart, Walter Huston",8.2,80193.0,/title/tt0040897/
Some Like It Hot,1959,Billy Wilder,"Marilyn Monroe, Tony Curtis",8.2,177110.0,/title/tt0053291/
Up,2009,Pete Docter,"Edward Asner, Jordan Nagai",8.2,675410.0,/title/tt1049413/
Unforgiven,1992,Clint Eastwood,"Clint Eastwood, Gene Hackman",8.2,280694.0,/title/tt0105695/
The Third Man,1949,Carol Reed,"Orson Welles, Joseph Cotten",8.2,115060.0,/title/tt0041959/
Der Untergang,2004,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara",8.2,250978.0,/title/tt0363163/
Raging Bull,1980,Martin Scorsese,"Robert De Niro, Cathy Moriarty",8.2,237674.0,/title/tt0081398/
Bacheha-Ye aseman,1997,Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian",8.2,29167.0,/title/tt0118849/
Die Hard,1988,John McTiernan,"Bruce Willis, Alan Rickman",8.2,599049.0,/title/tt0095016/
The Great Escape,1963,John Sturges,"Steve McQueen, James Garner",8.2,167583.0,/title/tt0057115/
Chinatown,1974,Roman Polanski,"Jack Nicholson, Faye Dunaway",8.2,218633.0,/title/tt0071315/
Inside Out,2015,Pete Docter,"Amy Poehler, Bill Hader",8.2,359145.0,/title/tt2096673/
Heat,1995,Michael Mann,"Al Pacino, Robert De Niro",8.2,435891.0,/title/tt0113277/
Pan's Labyrinth,2006,Guillermo del Toro,"Ivana Baquero, Ariadna Gil",8.2,472947.0,/title/tt0457430/
Room,2015,Lenny Abrahamson,"Brie Larson, Jacob Tremblay",8.2,174060.0,/title/tt3170832/
On the Waterfront,1954,Elia Kazan,"Marlon Brando, Karl Malden",8.2,102112.0,/title/tt0047296/
Tonari no Totoro,1988,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka",8.2,175654.0,/title/tt0096283/
Ikiru,1952,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko",8.2,42893.0,/title/tt0044741/
Ran,1985,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao",8.2,78716.0,/title/tt0089881/
The Gold Rush,1925,Charles Chaplin,"Charles Chaplin, Mack Swain",8.2,68830.0,/title/tt0015864/
Mr. Smith Goes to Washington,1939,Frank Capra,"James Stewart, Jean Arthur",8.2,78209.0,/title/tt0031679/
The Bridge on the River Kwai,1957,David Lean,"William Holden, Alec Guinness",8.2,151293.0,/title/tt0050212/
El secreto de sus ojos,2009,Juan José Campanella,"Ricardo Darín, Soledad Villamil",8.2,134107.0,/title/tt1305806/
Blade Runner,1982,Ridley Scott,"Harrison Ford, Rutger Hauer",8.2,466304.0,/title/tt0083658/
Det sjunde inseglet,1957,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand",8.2,113378.0,/title/tt0050976/
La passion de Jeanne d'Arc,1928,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain",8.2,25952.0,/title/tt0019254/
"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,"Jason Flemyng, Dexter Fletcher",8.2,419297.0,/title/tt0120735/
Hauru no ugoku shiro,2004,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura",8.2,217558.0,/title/tt0347149/
Casino,1995,Martin Scorsese,"Robert De Niro, Sharon Stone",8.2,337717.0,/title/tt0112641/
Judgment at Nuremberg,1961,Stanley Kramer,"Spencer Tracy, Burt Lancaster",8.2,45161.0,/title/tt0055031/
Smultronstället,1957,Ingmar Bergman,"Victor Sjöström, Bibi Andersson",8.2,63929.0,/title/tt0050986/
The General,1926,Clyde Bruckman,"Buster Keaton, Marion Mack",8.2,54309.0,/title/tt0017925/
Sunrise: A Song of Two Humans,1927,F.W. Murnau,"George O'Brien, Janet Gaynor",8.2,29835.0,/title/tt0018455/
The Elephant Man,1980,David Lynch,"Anthony Hopkins, John Hurt",8.2,163798.0,/title/tt0080678/
A Beautiful Mind,2001,Ron Howard,"Russell Crowe, Ed Harris",8.2,619379.0,/title/tt0268978/
